"name","MissedLines","CoveredLines"
"nuri/foundation/api/controller/system/GroupApiController","5","13"
"nuri/foundation/api/controller/system/UserAuthorityApiController","1","12"
"nuri/foundation/api/controller/system/AuthorApiController","9","13"
"nuri/foundation/api/controller/system/HealthCheckApiController","5","1"
"nuri/foundation/api/controller/system/AuthorRoleApiController","0","12"
"nuri/foundation/api/controller/system/ProgramApiController","3","14"
"nuri/foundation/api/controller/system/RoleApiController","5","13"
"nuri/foundation/api/controller/system/MenuApiController","23","13"
