progrm_file_nm,url
selectMemoReprtList,/cop/smt/mrm/EgovMemoReprtDetail.do
egovLoginUsr,/uat/uia/EgovLoginUsr.do
selectLoginPolicyList,/uat/uap/EgovLoginPolicyList.do
EgovUserManage,/cmm/uss/umt/EgovUserManage.do
EgovMeetingManageList,/uss/olp/mgt/EgovMeetingManageList.do
selectServerList,/sym/sym/srv/EgovServerDetail.do
CpyrhtPrtcPolicyListInqire,/uss/sam/cpy/EgovCpyrhtPrtcPolicyListInqire.do
EgovRoleList,/sec/rmt/EgovRoleManage.do
selectUserStats,/sts/ust/EgovUserStats.do
selectRwardManageList,/uss/ion/rwd/EgovRwardManageList.do
QnaAnswerListInqire,/uss/olh/qna/EgovQnaAnswerList.do
selectSmsList,/cop/sms/EgovSmsInfoList.do
selectTroblReqstList,/sym/tbm/tbr/EgovTroblReqstDetail.do
selectDeptManageListView,/uss/umt/EgovDeptManageList.do
selectAdbkList,/cop/adb/EgovAddressBookList.do
selectSynchrnServerList,/utl/sys/ssy/EgovSynchrnServerDetail.do
SelectWebLogList,/sym/log/wlg/EgovWebLogDetail.do
selectNtwrkSvcMntrngList,/utl/sys/nsm/EgovNtwrkSvcMntrngDetail.do
selectLoginScrinImageList,/uss/ion/lsi/EgovLoginScrinImageList.do
selectWikMnthngReprtList,/cop/smt/wmr/EgovWikMnthngReprtDetail.do
selectServerEqpmnList,/sym/sym/srv/EgovServerEqpmnDetail.do
EgovAuthorList,/sec/ram/EgovAuthorManage.do
selectSndngMailList,/cop/ems/EgovMailDtls.do
selectMainImageList,/uss/ion/msi/EgovMainImageList.do
EgovDeptSchdulManageList,/cop/smt/sdm/EgovDeptSchdulManageList.do
selectMemoTodoList,/cop/smt/mtm/EgovMemoTodoDetail.do
selectReprtStatsListView,/sts/rst/EgovReprtStatsList.do
selectUserAbsnceListView,/uss/ion/uas/EgovUserAbsnceList.do
SelectSysLogList,/sym/log/lgm/EgovSysLogDetail.do
selectNcrdInfs,/cop/ncm/EgovNcrdList.do
listAdministrationWordManage,/uss/olh/awm/EgovAdministrationWordManageDetail.do
selectTwitterMain,/uss/ion/tir/EgovTwitterMain.do
selectMtgPlaceResveManageList,/uss/ion/mtg/EgovMtgPlaceResveManageList.do
WordDicaryListInqire,/uss/olh/wor/EgovWordDicaryList.do
EgovQustnrRespondInfoManageList,/uss/olp/qnn/EgovQustnrRespondInfoManageList.do
selectMyNcrdUseInf,/cop/ncm/EgovMyNcrdList.do
selectDtaUseStatsList,/sts/dst/EgovDtaUseStatsDetail.do
SelectTrsmrcvLogList,/sym/log/tlg/EgovTrsmrcvLogInqire.do
selectScrinStats,/sts/sst/EgovScrinStats.do
selectTemplateInfs,/cop/com/EgovTemplateInqirePopup.do
SiteListInqire,/uss/ion/sit/EgovSiteList.do
RecomendSiteListInqire,/uss/ion/rec/EgovRecomendSiteList.do
