MENU_NO|MENU_NM|UPPER_MENU_NO|PROGRM_FILE_NM|ORIG_URL|ORIG_STRE_PATH
5200000|설문관리|5000000|EgovQustnrManageList|/uss/olp/qmc/EgovQustnrManageList.do|/uss/olp/qmc/
5210000|설문조사|5000000|EgovQustnrRespondInfoManageList|/uss/olp/qnn/EgovQustnrRespondInfoManageList.do|/uss/olp/qnn/
5220000|설문템플릿관리|5000000|EgovQustnrTmplatManageList|/uss/olp/qtm/EgovQustnrTmplatManageList.do|/uss/olp/qtm/
5230000|응답자관리|5000000|EgovQustnrRespondManageList|/uss/olp/qrm/EgovQustnrRespondManageList.do|/uss/olp/qrm/
5240000|질문관리|5000000|EgovQustnrQestnManageList|/uss/olp/qqm/EgovQustnrQestnManageList.do|/uss/olp/qqm/
5250000|항목관리|5000000|EgovQustnrItemManageList|/uss/olp/qim/EgovQustnrItemManageList.do|/uss/olp/qim/
5260000|회의관리|5000000|EgovMeetingManageList|/uss/olp/mgt/EgovMeetingManageList.do|/uss/olp/mgt/
5270000|온라인poll관리|5000000|listOnlinePollManage|/uss/olp/opm/listOnlinePollManage.do|/uss/olp/opm/
5280000|온라인poll참여|5000000|listOnlinePollPartcptn|/uss/olp/opp/listOnlinePollPartcptn.do|/uss/olp/opp/
5290000|뉴스관리|5000000|NewsInfoListInqire|/uss/ion/nws/NewsInfoListInqire.do|/uss/ion/nws/
5300000|사이트관리|5000000|SiteListInqire|/uss/ion/sit/SiteListInqire.do|/uss/ion/sit/
5310000|추천사이트관리|5000000|RecomendSiteListInqire|/uss/ion/rec/RecomendSiteListInqire.do|/uss/ion/rec/
5320000|행사/이벤트/캠페인|5000000|EgovEventCmpgnList|/uss/ion/ecc/EgovEventCmpgnList.do|/uss/ion/ecc/
5330000|외부인사정보|5000000|EgovTnextrlHrInfoList|/uss/ion/ecc/EgovTnextrlHrInfoList.do|/uss/ion/ecc/
5340000|팝업창관리|5000000|listPopup|/uss/ion/pwm/listPopup.do|/uss/ion/pwm/
5350000|정보알림이|5000000|selectNotificationList|/uss/ion/noi/selectNotificationList.do|/uss/ion/noi/
5360000|배너관리|5000000|selectBannerList|/uss/ion/bnr/selectBannerList.do|/uss/ion/bnr/
5370000|MYPAGE배너관리|5000000|selectBannerMainList|/uss/ion/bnr/selectBannerMainList.do|/uss/ion/bnr/
5380000|로그인화면이미지관리|5000000|selectLoginScrinImageList|/uss/ion/lsi/selectLoginScrinImageList.do|/uss/ion/lsi/
5390000|최근검색어 목록|5000000|listRecentSrchwrd|/uss/ion/rsm/listRecentSrchwrd.do|/uss/ion/rsm/
5400000|메인이미지관리|5000000|selectMainImageList|/uss/ion/msi/selectMainImageList.do|/uss/ion/msi/
5410000|메인이미지 반영결과보기|5000000|getMainImageResult|/uss/ion/msi/getMainImageResult.do|/uss/ion/msi/
5420000|통합링크관리|5000000|listUnityLink|/uss/ion/ulm/listUnityLink.do|/uss/ion/ulm/
5430000|사용자부재관리|5000000|selectUserAbsnceListView|/uss/ion/uas/selectUserAbsnceListView.do|/uss/ion/uas/
5440000|인터넷서비스안내및관리|5000000|selectIntnetSvcGuidanceList|/uss/ion/isg/selectIntnetSvcGuidanceList.do|/uss/ion/isg/
5450000|Wiki기능|5000000|listWikiBookmark|/uss/ion/wik/bmk/listWikiBookmark.do|/uss/ion/wik/bmk/
5460000|RSS태그관리|5000000|listRssTagManage|/uss/ion/rss/listRssTagManage.do|/uss/ion/rss/
5470000|RSS태그서비스|5000000|listRssTagService|/uss/ion/rsn/listRssTagService.do|/uss/ion/rsn/
5480000|Twitter연동|5000000|selectTwitterMain|/uss/ion/tir/selectTwitterMain.do|/uss/ion/tir/
5490000|쪽지관리|5000000|registEgovNoteManage|/uss/ion/ntm/registEgovNoteManage.do|/uss/ion/ntm/
5500000|받은쪽지함관리|5000000|listNoteRecptn|/uss/ion/ntr/listNoteRecptn.do|/uss/ion/ntr/
5510000|보낸쪽지함관리|5000000|listNoteTrnsmit|/uss/ion/nts/listNoteTrnsmit.do|/uss/ion/nts/
